Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Bloomberg Television,2920000,0.5332443,0.451,0.08720534294843674,86157,https://www.youtube.com/@markets
WIRED,12500000,0.5319538,0.528,0.11189253628253937,4093,https://www.youtube.com/@wired
Hugo Henderson,90800,0.53191197,0.523,0.14407306909561157,214,https://www.youtube.com/@hugohenderson
David Pakman Show,3380000,0.5313035,0.531,0.12200505286455154,41095,https://www.youtube.com/@thedavidpakmanshow
Rebel HQ,1410000,0.53117645,0.586,0.13487520813941956,16954,https://www.youtube.com/@rebelhq
MicroConf,110000,0.5297103,0.319,0.06339465826749802,529,https://www.youtube.com/@microconf
Not Malcolm,72000,0.529012,0.432,0.10134131461381912,105,https://www.youtube.com/@notmalcolm
Noah Kagan,1180000,0.52834666,0.335,0.08462491631507874,564,https://www.youtube.com/@noahkagan
KreekCraft,15200000,0.527539,0.491,0.11125849187374115,6218,https://www.youtube.com/@kreekcraft
TMR,218000,0.52644885,0.428,0.1124095767736435,1370,https://www.youtube.com/@themarinerapper
mattyballz,474000,0.52592695,0.645,0.14017140865325928,370,https://www.youtube.com/@mattyballz
Newsweek,679000,0.52397615,0.531,0.10456302762031555,13250,https://www.youtube.com/@newsweek
Pop Culture Brain,168000,0.52326685,0.623,0.13908910751342773,2293,https://www.youtube.com/@popculturebrain
MSP Radio,21300,0.5231961,0.419,0.09891552478075027,709,https://www.youtube.com/@mspradio
NewsNation,2440000,0.522998,0.531,0.10666564106941223,76669,https://www.youtube.com/@newsnation
Patty Pop Culture,216000,0.5224807,0.59,0.1403917521238327,675,https://www.youtube.com/@pattypopculture
Sundas Khalid,332000,0.5193615,0.383,0.07626811414957047,298,https://www.youtube.com/@sundaskhalid
Big Think,8350000,0.51765525,0.526,0.10884035378694534,9725,https://www.youtube.com/@bigthink
Daily Dose of Dana,52400,0.5166758,0.489,0.1254710853099823,1442,https://www.youtube.com/@thisisdanabowling
Japanalysis,392000,0.51543134,0.508,0.13251350820064545,98,https://www.youtube.com/@japanalysis
Aishah Jenmi,23900,0.51511264,0.667,0.14195585250854492,30,https://www.youtube.com/@aishahjenmi
