Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Journal - History Documentaries,82500,0.29612213,0.286,0.06418338418006897,308,https://www.youtube.com/@-journal
John Michael Godier,483000,0.29270512,0.302,0.06570959836244583,645,https://www.youtube.com/@johnmichaelgodier
Shane Hummus,1460000,0.29159477,0.361,0.07356537878513336,904,https://www.youtube.com/@shanehummus
Argonne National Laboratory,16200,0.29043016,0.324,0.09551479667425156,704,https://www.youtube.com/@argonnelab
Modern Millie,669000,0.28955,0.33,0.047325827181339264,647,https://www.youtube.com/@millieadrian
Pierre Dalati,1440000,0.2867208,0.269,0.047132741659879684,1144,https://www.youtube.com/@dalati
Mike Sherrard,116000,0.28627634,0.229,0.05272343382239342,965,https://www.youtube.com/@mike_sherrard
TechZone,4770000,0.28541958,0.26,0.058082763105630875,1222,https://www.youtube.com/@tech___zone
NASA Space News,567000,0.2830693,0.3,0.0730898380279541,1710,https://www.youtube.com/@nspacenews
The Halfie Project,46100,0.28087282,0.266,0.06486812233924866,149,https://www.youtube.com/@thehalfieproject
Wes McDowell,426000,0.27829272,0.268,0.050273798406124115,442,https://www.youtube.com/@wesmcdowellinc
Techquickie,4330000,0.2764208,0.237,0.033172041177749634,1269,https://www.youtube.com/@techquickie
University of Oxford,453000,0.27590692,0.267,0.06225560978055,1242,https://www.youtube.com/@oxforduniversity
Vinh Giang,4000000,0.27558365,0.242,0.04891836643218994,1203,https://www.youtube.com/@askvinh
Gohar Khan,7170000,0.2746051,0.311,0.045599084347486496,700,https://www.youtube.com/@goharsguide
History.Culture.projects,24300,0.2728705,0.269,0.06960726529359818,54,https://www.youtube.com/@history.culture.projects-y5m
Jacob Clifford,1020000,0.27239767,0.31,0.06862889230251312,541,https://www.youtube.com/@jacobaclifford
Smile and Learn - English,2040000,0.27162868,0.29,0.05409926176071167,1510,https://www.youtube.com/@smileandlearnenglish
Bournemouth University,14200,0.26880723,0.265,0.04977760836482048,484,https://www.youtube.com/@bournemouthuni
FutureVEVO,4340000,0.26873815,0.268,0.07159943133592606,413,https://www.youtube.com/@futurevevo
Bozeman Science,1430000,0.268635,0.323,0.05824464187026024,709,https://www.youtube.com/@bozemanscience1
Dr B,23500,0.2674178,0.265,0.046176109462976456,282,https://www.youtube.com/@drbukkyeffect
