Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
NBC 15,89700,0.4985622,0.51,0.0941359773278236,21283
Everything Money Plus,23500,0.49705762,0.409,0.1158546730875969,262
Danno Cal Drawings,3980000,0.49593136,0.388,0.0757991820573806,1150
Jeff Geerling,1000000,0.49548334,0.369,0.0640246868133544,533
Lael Hansen,1220000,0.49530575,0.532,0.1268408745527267,121
The Hollywood Reporter,1300000,0.49462515,0.506,0.1211188286542892,12697
Real Alex Clark,679000,0.4943978,0.506,0.0981556549668312,3609
Data Orbit,26800,0.49384877,0.583,0.1262458860874176,4728
GossipHerald,80600,0.49329293,0.529,0.125097781419754,10080
Mrwhosetheboss,21800000,0.49235722,0.377,0.0674336403608322,1852
Megyn Kelly,4050000,0.49145064,0.59,0.1382434368133545,11646
The Critical Analyst,35000,0.49124563,0.49,0.1218369677662849,1373
IBM Technology,1430000,0.49048656,0.326,0.0599585995078086,1442
MSNBC,9290000,0.4898737,0.562,0.1263822764158249,104887
IGN,19500000,0.4893057,0.453,0.0924946069717407,175424
CNBC,4060000,0.48913336,0.469,0.0847204700112342,15767
Content Machine,3780000,0.4885478,0.396,0.0802648738026619,1375
Copper Digital,14800,0.4884142,0.368,0.0662915408611297,1107
ShawnCeeLIVE,206000,0.48811668,0.501,0.1241617575287818,1011
Kelly Scholas ,60900,0.4867476,0.52,0.1331921964883804,26
Robert Benjamin,863000,0.48593506,0.344,0.0911634862422943,1529
WatchMojo.com,25900000,0.48521638,0.454,0.1331019550561905,31323
Brut America,520000,0.48519677,0.532,0.1062221005558967,4481
NowThis Impact,4720000,0.48518443,0.483,0.0879195258021354,24487
RKH Media,95200,0.48472095,0.467,0.1370876729488372,284
Observe,862000,0.48452288,0.524,0.1249833926558494,546
Mr. Beat,1300000,0.4838211,0.434,0.095788761973381,851
CBS News,6810000,0.48346725,0.46,0.0808794349431991,144196
Breaking View USA,38100,0.48294106,0.499,0.1059069409966468,11967
Jarred Jermaine,4450000,0.48266798,0.493,0.0953635349869728,4187
Offensive Tea,1150000,0.4809457,0.653,0.1383876502513885,235
TMZ,4970000,0.4807753,0.413,0.1163954511284828,20357
FORGOTTEN HISTORY,975000,0.48041946,0.567,0.1372352391481399,1272
Nicholas Renotte,319000,0.47912037,0.255,0.0355055592954158,322
Olive's Closet,29400,0.4790237,0.294,0.0550192072987556,1536
Catfished,545000,0.47891158,0.382,0.1149369552731514,2250
Musk Munition,149000,0.4786825,0.478,0.1260289698839187,875
CNN,18800000,0.47537854,0.517,0.0925306901335716,177002
Learn With Shopify,818000,0.47533575,0.298,0.0533465445041656,1277
Rap Lore,40100,0.4741141,0.636,0.1508159935474395,272
Mike the Credit Guy ,446000,0.47172683,0.406,0.1018195822834968,6177
Storm Monroe,353000,0.47080606,0.479,0.120756022632122,4580
katie robinson,58600,0.47045803,0.377,0.0859497487545013,352
Social Society w/ Brandon Clark,23200,0.4700266,0.483,0.1772784143686294,2864
Larry King,590000,0.4696319,0.515,0.091643638908863,6809
Independent Institute,86400,0.46904248,0.48,0.0997465625405311,883
